"id","repo_id","committer","message","comment_count","verification"
"1","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","bugfix release","0","0"
"2","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","nothing","0","0"
"3","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","added layout swap preference
added hold feature infrastructure
todo:
- hold logic
- touch indicator on preview box","0","0"
"4","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","1.8.1
fixed 2 possible crashes","0","0"
"5","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","version 1.8","0","0"
"6","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","new main menu button style","0","0"
"7","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","readme updates

Signed-off-by: vocollapse <rasyl@web.de>","0","0"
"8","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","pause button text invisibility fix attempt","0","0"
"9","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","play store publishing version
- sound tweaks
- each activity will set music volume on default","0","0"
"10","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","new self created sounds","0","0"
"11","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","- changed control priority from ...
  (1) drops, (2) horizontal movement, (3) rotation ... to ...
  (1) rotation), (2) horizontal movement, (3) drops
- movement timer now doesnt reset when hitting a wall. this means:
  the piece will instantly move horizontally while the button is held
  and movement becomes possible again","0","0"
"12","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","sounds can now be paused when the component is in ""inactive"" state.
version strings changed to v1.7","0","0"
"13","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","updated help strings for scoring, fixed consecutive tetris score","0","0"
"14","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","new scoring system, final music bugfixes","0","0"
"15","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","additional music bugfix attempt","0","0"
"16","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","improved text","0","0"
"17","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","small sound bugfixes, pause button size fixed in portrait mode","0","0"
"18","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","Version 1.6
music bugfixes:
  ringer mode is now taken into account
  added ringer mode broadcast receiver
  added headset plug/unplug broadcast receiver","0","0"
"19","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","music is back.","0","0"
"20","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","removed old code and changed how effect sounds are loaded.
effect sounds are no longer loaded in MainActivity.","0","0"
"21","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","code improvements, updated pause button style
- database management now is handeled exclusively in MainActivity
- GameActivity now returns a Result (Playername, Score)
- gameOver sound bugfix
- small layout tweaks
- pause button now with game button style","0","0"
"22","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","Merge branch 'nomusic'","0","0"
"23","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","again unneccesary","0","0"
"24","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","Merge branch 'master' into nomusic

Conflicts:
	LICENSE.md","0","0"
"25","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","unnecessary commit. remove this","0","0"
"26","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","changed audio playback method to SoundPool","0","0"
"27","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","added Broadcast Receiver to manifest
-> new class for NoiseBroadcastReceiver","0","0"
"28","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","reworked sound management
without soundpool for now","0","0"
"29","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","v1.5-nomusic
(1) added standard android key press sound
(2) several preference changes and additions
(3) button vibration duration is no longer increased by 5 ms
(4) string changes on account of (2) and (3)
(5) sounds and vibrations are now muteable by global system settings","0","0"
"30","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","v1.4.5-nomusic
(1) rotation button layout changed from vertical to horizontal
(2) overall layout tweaks resulting from (1)
(3) padding between game board and preview window reduced in land mode
(4) game board's squaresize adapts better to screen sizes now
(5) removed music license entry in about menu
(6) removed music attribution note in main activity","0","0"
"31","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","explicit screen size support written into manifest","0","0"
"32","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","small license translation tweaks","0","0"
"33","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","removed music volume preference","0","0"
"34","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","removed non-free music license","0","0"
"35","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","removed non-free music.","0","0"
"36","MDEwOlJlcG9zaXRvcnk5MjQ0OTk3","vocollapse","added music license text to LICENSE.md","0","0"
